m_minDist2Higher,m_density,PointInd,Poduct
0.0387472,9,299,495.525
0.42624,3,199,190.336
0.342814,2,99,126.074
0.509588,2,198,16.9259
0.310925,5,189,16.8956
0.398823,6,195,16.6641
0.131788,14,291,14.9593
0.565989,3,290,14.3613
0.109768,12,97,13.4337
0.0727949,11,298,12.1533
0.611848,1,191,11.6567
0.149111,9,98,11.3889
0.187758,18,93,10.8391
0.149255,15,88,10.7015
0.141803,9,85,10.0869
0.374086,5,294,9.35974
0.10552,9,192,9.26743
0.352913,9,197,7.9807
0.0631813,14,179,7.83821
0.183513,9,90,7.10209
0.529844,1,282,7.00375
0.209477,6,78,6.80156
0.103065,13,180,6.79388
0.10947,11,285,6.76309
0.256531,3,289,6.76098
0.108362,13,185,6.68442
0.0908383,16,96,6.12788
0.357231,6,287,6.01521
0.510599,5,89,5.94185
0.122343,6,277,5.86613
0.0651414,17,57,5.68993
1.01347,0,273,5.61968
0.386585,3,181,5.29239
0.132228,14,196,5.17454
0.211241,8,283,5.1708
0.0486107,7,227,5.00278
0.251118,13,135,5.0012
0.540001,4,136,4.99945
0.263288,8,280,4.99122
0.230901,9,278,4.94254
0.247937,14,86,4.85007
0.225243,9,267,4.73164
0.298955,11,150,4.71357
0.138437,10,295,4.67308
0.138769,17,183,4.65091
0.322359,13,167,4.5249
0.322974,6,172,4.50716
0.262881,8,238,4.50112
0.39733,9,231,4.47871
0.125499,14,265,4.31683
0.268824,4,193,4.30082
0.164757,11,45,4.19066
0.247399,10,251,4.1485
0.141662,9,187,4.10854
0.179486,7,220,4.10011
0.655911,0,260,4.09432
0.240057,7,151,4.06879
0.316107,18,217,4.05543
0.110328,17,264,3.93182
0.320116,12,279,3.86209
0.559313,2,59,3.84139
0.092926,14,104,3.78856
0.52397,4,120,3.73816
0.273335,12,74,3.59689
0.211982,11,48,3.57597
0.588126,6,65,3.52876
0.14093,14,80,3.51898
1.00957,2,165,3.50925
0.143916,6,123,3.49782
0.324038,9,40,3.47111
0.357961,8,81,3.44751
0.184443,6,266,3.44704
0.342152,7,194,3.40761
0.328558,10,12,3.37965
0.599481,6,152,3.3038
0.279609,4,42,3.2885
0.233166,13,73,3.28558
0.982492,2,63,3.28002
0.453437,15,36,3.26453
0.659239,4,115,3.26098
0.351898,10,203,3.22285
0.492502,7,17,3.17622
0.660382,3,261,3.16779
0.98243,2,245,3.14054
0.151237,15,102,3.12447
0.53089,19,204,3.11315
0.346434,14,275,3.10513
2.11723,1,125,3.08849
0.713433,15,161,3.08456
0.540169,11,272,3.07188
0.887761,8,91,3.06151
0.235501,13,247,3.06065
1.25079,2,118,3.03404
0.98537,11,184,3.03125
0.0538563,12,76,3.03116
1.79448,0,249,3.01855
0.510657,12,69,2.91634
1.11947,12,223,2.91083
1.03535,11,284,2.89796
11.4613,11,70,2.86369
0.16613,10,297,2.84849
0.192602,11,169,2.83638
0.240344,13,133,2.82639
0.115261,13,190,2.77214
0.270611,14,200,2.69789
0.165443,15,79,2.63696
0.0864251,19,171,2.58734
0.0936451,10,213,2.56552
0.28818,5,28,2.55299
0.0920757,17,255,2.53612
0.0894183,9,119,2.5333
0.0841355,10,142,2.53156
0.211799,10,92,2.50158
0.461009,3,143,2.49757
0.255125,4,250,2.49335
0.181166,18,127,2.48792
0.104228,12,105,2.48165
0.142329,12,52,2.47399
0.337116,9,233,2.46534
0.133332,19,257,2.46086
0.267012,14,146,2.45801
0.0511765,11,126,2.45375
0.185844,8,188,2.43534
0.218614,16,162,2.40794
0.588212,1,268,2.39615
0.220607,14,72,2.39507
0.18875,13,5,2.39294
0.177709,14,44,2.35908
0.0529479,13,286,2.33918
0.136113,14,64,2.33181
0.603817,1,84,2.26855
0.670215,1,13,2.23882
0.84887,1,276,2.23781
0.353298,8,254,2.22215
0.192003,5,221,2.21969
0.416767,12,37,2.16
0.294085,17,153,2.1512
0.18533,6,209,2.14597
0.30605,6,27,2.14339
0.412808,4,155,2.12409
0.141547,3,101,2.11862
0.161838,12,112,2.11799
0.281285,9,87,2.11723
0.208131,12,163,2.10641
0.194504,4,38,2.1063
0.398161,5,47,2.10305
0.153625,16,186,2.10255
0.118757,6,62,2.09588
0.140126,12,39,2.07811
0.0682025,5,176,2.05726
0.235678,20,41,2.02719
0.226044,18,202,2.02298
0.33038,10,67,2.01915
0.537799,4,235,2.01356
0.158463,5,145,1.9908
0.23601,9,82,1.98115
0.180993,6,66,1.97302
0.699833,0,77,1.96498
0.189003,9,83,1.96486
0.692214,0,212,1.95562
0.17353,8,141,1.94206
0.514094,6,46,1.93784
0.401324,6,271,1.91643
0.13165,16,129,1.90558
0.509648,2,281,1.88799
0.206426,17,58,1.87557
0.469789,3,15,1.87043
0.282807,16,234,1.8515
0.126421,12,33,1.85119
0.283638,10,218,1.84853
0.0408686,4,6,1.84503
0.517469,5,138,1.8363
0.32194,14,51,1.81232
0.721836,2,246,1.78145
0.0471202,12,49,1.75698
0.325606,3,117,1.70795
0.171438,12,158,1.70103
0.690659,0,7,1.69797
0.215627,6,34,1.68992
0.435456,18,148,1.68151
0.566157,12,56,1.6804
0.481126,11,100,1.6613
0.108055,5,19,1.65162
0.581363,8,139,1.65123
0.606251,5,243,1.6474
0.514186,13,106,1.64208
0.420509,5,253,1.6184
1.36951,3,109,1.56529
0.487068,5,262,1.55871
0.993861,17,207,1.55669
0.693036,4,4,1.55463
0.613512,19,168,1.51705
0.712879,13,103,1.49839
0.537602,8,122,1.48676
0.340761,10,237,1.47741
1.66641,10,211,1.45676
0.862423,6,206,1.45498
0.725518,11,26,1.45341
2.82098,6,252,1.44396
23.792,8,173,1.44367
0.192706,14,108,1.4409
0.0680911,15,166,1.40937
0.144499,14,25,1.40871
0.292986,11,240,1.39915
0.239473,13,160,1.38824
0.135391,6,43,1.38437
0.0909362,16,113,1.38303
0.259448,6,11,1.342
0.0525696,9,22,1.33985
0.214597,10,8,1.31722
0.0684728,14,242,1.30649
0.242793,6,61,1.30096
0.122226,16,178,1.29376
0.160345,16,296,1.2797
0.151936,2,1,1.27872
0.825036,0,14,1.27623
0.547507,1,53,1.27496
0.289674,14,21,1.25686
0.142195,13,54,1.2564
0.255056,4,116,1.25073
0.292865,14,23,1.20418
0.277462,8,274,1.19582
0.532118,1,32,1.15976
0.264621,11,239,1.15123
0.123504,9,60,1.11863
0.0514082,9,75,1.11843
0.0680157,8,229,1.11822
0.312674,16,137,1.11198
0.302466,1,224,1.11154
0.0745483,15,30,1.1074
0.729277,0,71,1.10666
0.248817,18,258,1.1025
0.0644724,15,156,1.08596
0.246534,10,50,1.07529
0.370299,5,201,1.02137
0.503391,4,114,1.0205
0.40902,1,219,1.02022
0.184676,8,164,1.0193
0.300075,15,3,1.01918
0.575614,2,175,0.976817
0.233192,6,232,0.967086
0.272366,2,134,0.960015
0.145165,9,210,0.95862
0.205925,8,16,0.949683
0.0270142,9,107,0.936451
0.24158,13,269,0.912702
0.197939,9,18,0.884538
0.437235,7,270,0.873589
1.13354,0,68,0.863494
0.274413,11,132,0.84887
0.277039,9,111,0.841355
0.276566,15,205,0.812345
0.288792,5,110,0.804764
0.16184,10,9,0.800744
0.246906,9,263,0.795139
0.362303,7,154,0.792315
0.923327,0,144,0.778014
0.189297,13,24,0.769592
0.137813,8,29,0.734061
0.0328243,16,147,0.712544
0.272954,15,128,0.688322
0.351976,9,2,0.685629
1.55871,1,131,0.670215
0.113591,7,94,0.646276
0.262121,15,10,0.611848
0.431683,10,130,0.603817
0.246217,14,288,0.589561
0.394304,12,124,0.588212
0.217832,11,174,0.565442
0.304234,3,121,0.562942
0.873589,1,216,0.547507
0.958216,2,241,0.544732
0.34132,9,226,0.544126
0.374646,15,182,0.540273
0.298955,4,222,0.532118
0.44359,7,20,0.529844
0.159844,14,259,0.525188
0.533285,11,208,0.473126
0.706077,7,225,0.462673
0.429121,9,140,0.42464
0.623903,8,236,0.40902
0.943997,2,0,0.348725
0.466917,15,149,0.341013
0.574533,9,35,0.340275
0.362246,8,292,0.305924
0.845386,8,214,0.303872
0.259909,9,228,0.302466
0.546837,11,244,0.243128
0.0655068,9,170,0.163474
0.845122,8,55,0
1.30557,11,159,0
0.997285,15,157,0
0.305924,1,31,0
2.75652,0,293,0
0.623982,15,177,0
0.667583,7,215,0
0.0914073,14,95,0
1.42424,2,230,0
0.81022,15,256,0
33.035,15,248,0
